"conductortype","ac_line_segment_per_meter_positive_sequence_impedance_r","ac_line_segment_per_meter_positive_sequence_impedance_x","ac_line_segment_per_meter_zero_sequence_impedance_r","ac_line_segment_per_meter_zero_sequence_impedance_x"
"4 - 1x630mm2 Al XLPE HDPE","0.0000639","0.0000867","0.0000639","0.0000867"
"65mm2 (19/0.080in) Cu PVC","0.000322","0.000349","0.000322","0.000349"
"1 - 4x70mm2 Cu VINTOL","0.000342","0.000106","0.000342","0.000106"
"4 - 1x150mm2 (37/0.093in) Al XLPE PVC","0.000265","0.0000943","0.000265","0.0000943"
"4 - 1x35mm2 Cu (TPS) PVC PVC","0.000668","0.000117","0.000668","0.000117"
"4 - 1x70mm2 Cu CANTOL","0.000342","0.000106","0.000342","0.000106"
"2 - 1x230mm2 (0.358in2) Al XLPE PVC","0.000161","0.0000987","0.000161","0.0000987"
"16mm2 (7/0.064in) Cu TB","0.00149","0.00038","0.00149","0.00038"
"1 - 3x25mm2 Cu HD N/S PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 4x16mm2 Cu PILC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x10mm2 (7/0.052in) Cu","0.00233","0.000122","0.00233","0.000122"
"1 - 3x195mm2 (0.3in2) + 1x95mm2 (0.15in2) Cu","0.000127","0.0000914","0.000127","0.0000914"
"25mm2 (7/0.080in) Cu PVC","0.000886","0.00038","0.000886","0.00038"
"4 - 1x320mm2 (0.5in2) Cu","0.0000803","0.0000858","0.0000803","0.0000858"
"1 - 4x240mm2 Cu","0.0000986","0.0000882","0.0000986","0.0000882"
"1 - 4x25mm2 Cu PILCSTA","0.000927","0.000141","0.000927","0.000141"
"4 - 1x65mm2 (19/0.083in) Cu PVC PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 2x1.5mm2 + E (TPS) PVC PVC","0.0173","0.000119","0.0173","0.000119"
"1 - 4x400mm2 Al XLPE HDPE","0.000102","0.0000928","0.000102","0.0000928"
"1 - 3x35mm2 Cu HD N/S PVC","0.000668","0.000117","0.000668","0.000117"
"1 - 4x16mm2 Cu XLPE PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x70mm2 AL XLPE","0.000568","0.000119","0.000568","0.000119"
"4 - 1x240mm2 Al XLPE PVC","0.000161","0.0000987","0.000161","0.0000987"
"1 - 3x70mm2 + 1x35mm2 Cu PILCSTA","0.000342","0.000106","0.000342","0.000106"
"1 - 2x185mm2 Al","0.000211","0.000103","0.000211","0.000103"
"1 - 3x300mm2 (0.5in2) Cu PVC + 1x160mm2 (0.25in2) Cu","0.0000798","0.0000858","0.0000798","0.0000858"
"105mm2 (6/0.186in+7/0.062in) Dog ACSR Bare","0.0003309","0.0004392","0.0003309","0.0004392"
"1 - 3x16mm2 (7/0.064in) Cu PVC","0.00147","0.000151","0.00147","0.000151"
"160mm2 (19/0.183in) Dingo ACSR Bare","0.0002234","0.0003314","0.0002234","0.0003314"
"4 - 1x70mm2 Al XLPE","0.000568","0.000119","0.000568","0.000119"
"1 - 4x15mm2 (0.025in2) Cu PILCSWAJS","0.00147","0.000151","0.00147","0.000151"
"1 - 1x106mm2 (19/0.105in) Al PVC PVC","0.0003309","0.000112","0.0003309","0.000112"
"1 - 1x25mm2 (7/0.080in) Cu + 1 - 1x6mm2 (7/0.044in) Cu","0.000927","0.000141","0.000927","0.000141"
"1 - 4x70mm2 PVC SWA","0.000568","0.000119","0.000568","0.000119"
"24.5mm2 Namu AAC Bare","0.00154","0.00038","0.00154","0.00038"
"1 - 2x150mm2 Al","0.000265","0.0000943","0.000265","0.0000943"
"2 - 1x70mm2 Al XLPE PVC","0.000568","0.000119","0.000568","0.000119"
