icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0002102914WEA57,10051406,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102916WEAD2,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102916WEAD2,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102917WE697,10026401,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102917WE697,10026401,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102918WE949,10042782,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102918WE949,10042782,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102919WE50C,10051409,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102919WE50C,10051409,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102920WECA5,10051412,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102920WECA5,10051412,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102921WE0E0,10042785,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102921WE0E0,10042785,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102922WEC20,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102922WEC20,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102926WED2A,10026429,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102926WED2A,10026429,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102927WE16F,10047442,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102927WE16F,10047442,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102928WEEB1,10051373,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102928WEEB1,10051373,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102933WEAC8,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102933WEAC8,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102936WE787,10051349,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102936WE787,10051349,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102937WEBC2,10051348,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102937WEBC2,10051348,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102940WE355,10051347,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102940WE355,10051347,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102941WEF10,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102941WEF10,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102943WEF95,10026418,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102943WEF95,10026418,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102944WE25F,10051405,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102944WE25F,10051405,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102945WEE1A,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102945WEE1A,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102946WE2DA,10051403,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102946WE2DA,10051403,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102947WEE9F,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102947WEE9F,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102949WED04,,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102949WED04,,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102951WE5BD,10051402,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0002102951WE5BD,10051402,T7707-U03,T7707,2023-08-17 00:00:00,,
0002102996WEF98,10049642,T1347-U02,T1347,2022-05-01 00:00:00,2024-04-19 00:00:00,icp decom
0002126958WE4A1,10003661,T3278-U05,T3278,2022-05-01 00:00:00,2024-01-09 00:00:00,icp decom
0002126959WE8E4,,T3278-U05,T3278,2022-05-01 00:00:00,2024-01-09 00:00:00,icp decom
0002126961WED08,10029345,T3278-U05,T3278,2022-05-01 00:00:00,2024-01-09 00:00:00,icp decom
0002126962WE1C8,10029344,T3278-U05,T3278,2022-05-01 00:00:00,2024-01-09 00:00:00,icp decom
0002142169WEBC9,10047369,T3958-U03,T3958,2022-05-01 00:00:00,2023-09-29 00:00:00,Meter change
0002142169WEBC9,10074803,T3958-U03,T3958,2023-09-29 00:00:00,,
0002142482WEAA2,10026244,T3958-U02,T3958,2022-05-01 00:00:00,2022-12-16 00:00:00,icp decom
0002142639WECC3,10049689,T6187-U01,T6187,2022-05-01 00:00:00,2022-07-26 00:00:00,tx change
0002142639WECC3,10049689,T1509-U06,T1509,2022-07-26 00:00:00,,
0002202365WE5F1,,T6896-U01,T6896,2022-05-01 00:00:00,2023-11-29 00:00:00,icp decom
0002202916WE666,,T70-U01,T70,2022-05-01 00:00:00,2024-06-10 00:00:00,icp decom
0002207448WEFDD,10056774,T3955-U06,T3955,2022-05-01 00:00:00,2022-09-02 00:00:00,tx change
0002207448WEFDD,10056774,T1750-U04,T1750,2022-09-02 00:00:00,,
0002210977WEE72,10005104,T6037-U01,T6037,2022-05-01 00:00:00,2022-10-14 00:00:00,tx change
0002210977WEE72,10018102,T6037-U01,T6037,2022-05-01 00:00:00,2022-10-14 00:00:00,tx change
0002210977WEE72,10005104,T6295-U03,T6295,2022-10-14 00:00:00,2023-04-04 00:00:00,icp decom
0002210977WEE72,10018102,T6295-U03,T6295,2022-10-14 00:00:00,2023-04-04 00:00:00,icp decom
0002215204WE3C1,10057240,T3926-U01,T3926,2022-05-01 00:00:00,2022-07-07 00:00:00,tx change
0002215204WE3C1,10057240,T5928-U01,T5928,2022-07-07 00:00:00,,
0002215215WE529,,T3926-U01,T3926,2022-05-01 00:00:00,2022-08-13 00:00:00,icp decom
0002215385WE3CA,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215385WE3CA,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215396WE5A7,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215396WE5A7,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215401WE888,10057832,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215401WE888,10057832,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215421WE5DD,10041054,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215421WE5DD,10041054,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215427WE452,10057231,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215427WE452,10057231,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215442WE6ED,10041041,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215442WE6ED,10041041,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215447WEBA2,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215447WEBA2,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215451WE080,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215451WE080,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215452WEC40,10057233,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215452WEC40,10057233,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215457WE10F,10018926,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215457WE10F,10018926,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215458WEED1,10040969,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215458WEED1,10040969,T7731-U01,T7731,2023-08-23 00:00:00,,
