meter,Phase,status,Notes
10005760,C,0,Long term verified disconnected
10001295,C,0,Long term verified disconnected
10006503,C,0,Long term verified disconnected
10001303,C,0,Long term verified disconnected
10067916,C,0,Long term verified disconnected
10001853,C,0,Long term verified disconnected
10001838,C,0,Long term verified disconnected
10066184,C,0,Long term verified disconnected
10001628,C,0,Long term verified disconnected
10075243,C,0,Long term verified disconnected
10001850,C,0,Long term verified disconnected
10001847,C,0,Long term verified disconnected
10001809,C,0,Long term verified disconnected
10001831,C,0,Long term verified disconnected
10001832,C,0,Long term verified disconnected
10001851,C,0,Long term verified disconnected
10001886,C,0,Long term verified disconnected
10003869,C,0,Long term verified disconnected
10005030,C,0,Long term verified disconnected
10001800,C,0,Long term verified disconnected
10001781,C,0,Long term verified disconnected
10030708,C,0,Long term verified disconnected
10070623,C,0,Long term verified disconnected
10030950,C,0,Long term verified disconnected
10003806,C,0,Long term verified disconnected
10005448,C,0,Long term verified disconnected
10003866,C,0,Long term verified disconnected
10003867,C,0,Long term verified disconnected
10032661,C,0,Long term verified disconnected
10003825,C,0,Long term verified disconnected
10001558,C,0,Long term verified disconnected
10001634,C,0,Long term verified disconnected
10003817,C,0,Long term verified disconnected
10001578,B,0,Long term verified disconnected
10001578,C,0,Long term verified disconnected
10029820,C,0,Long term verified disconnected
10004215,C,0,Long term verified disconnected
10005712,C,0,Long term verified disconnected
10006858,C,0,Long term verified disconnected
10005233,C,0,Long term verified disconnected
10005229,C,0,Long term verified disconnected
10004087,C,0,Long term verified disconnected
10005121,C,0,Long term verified disconnected
10005420,C,0,Long term verified disconnected
10034430,C,0,Long term verified disconnected
10021464,C,0,Long term verified disconnected
10021508,C,0,Long term verified disconnected
10065939,C,0,Long term verified disconnected
10021404,C,0,Long term verified disconnected
10021409,C,0,Long term verified disconnected
10003774,C,0,Long term verified disconnected
10005224,C,0,Long term verified disconnected
10005214,C,0,Long term verified disconnected
10005997,C,0,Long term verified disconnected
10021408,C,0,Long term verified disconnected
10021419,C,0,Long term verified disconnected
10004269,C,0,Long term verified disconnected
10021435,C,0,Long term verified disconnected
10021512,C,0,Long term verified disconnected
10005425,C,0,Long term verified disconnected
10004282,C,0,Long term verified disconnected
10004285,C,0,Long term verified disconnected
10004284,C,0,Long term verified disconnected
10003776,C,0,Long term verified disconnected
10065863,C,0,Long term verified disconnected
10006761,C,0,Long term verified disconnected
10005230,C,0,Long term verified disconnected
10021429,C,0,Long term verified disconnected
10021426,C,0,Long term verified disconnected
10005232,C,0,Long term verified disconnected
10006496,C,0,Long term verified disconnected
10068459,C,0,Long term verified disconnected
10004398,C,0,Long term verified disconnected
10069316,C,0,Long term verified disconnected
10021424,C,0,Long term verified disconnected
10004435,C,0,Long term verified disconnected
10004246,C,0,Long term verified disconnected
10005083,C,0,Long term verified disconnected
10004538,C,0,Long term verified disconnected
10004781,C,0,Long term verified disconnected
10030112,C,0,Long term verified disconnected
10035718,C,0,Long term verified disconnected
10069387,C,0,Long term verified disconnected
10005771,C,0,Long term verified disconnected
10004425,C,0,Long term verified disconnected
10030576,C,0,Long term verified disconnected
10032537,B,0,Long term verified disconnected
10032537,C,0,Long term verified disconnected
10032486,C,0,Long term verified disconnected
10032539,C,0,Long term verified disconnected
10021597,C,0,Long term verified disconnected
10032487,C,0,Long term verified disconnected
10032489,C,0,Long term verified disconnected
10032438,C,0,Long term verified disconnected
10069115,C,0,Long term verified disconnected
10004994,C,0,Long term verified disconnected
10032481,C,0,Long term verified disconnected
10066453,C,0,Long term verified disconnected
